N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
38,삼성화재,"192,500","3,500",-1.79%,500,"91,197","47,375",49.81,"93,522",8.43,7.09,
39,삼성에스디에스,"117,000","2,500",+2.18%,500,"90,532","77,378",13.35,"126,333",11.90,8.80,
40,삼성전기,"119,500","1,000",-0.83%,"5,000","89,259","74,694",25.78,"466,986",8.99,14.29,
41,대한항공,"23,150",500,+2.21%,"5,000","85,243","368,221",14.23,"2,159,769",5.41,11.60,
42,우리금융지주,"11,250",100,-0.88%,"5,000","81,907","728,061",40.05,"2,845,765",2.79,10.59,
43,LG이노텍,"309,500","15,000",-4.62%,"5,000","73,250","23,667",24.55,"897,166",7.60,30.94,
44,엔씨소프트,"329,000","2,000",+0.61%,500,"72,229","21,954",42.64,"110,972",14.19,12.62,
45,기업은행,"9,560",60,-0.62%,"5,000","71,155","744,301",13.40,"1,358,719",3.14,9.21,
46,카카오페이,"52,600",400,-0.75%,500,"69,764","132,631",43.44,"424,015",-265.66,-2.45,
47,SK바이오사이언스,"85,200",600,+0.71%,500,"65,420","76,784",3.80,"383,618",19.51,38.08,
48,아모레퍼시픽,"111,500","2,500",+2.29%,500,"65,219","58,493",25.64,"219,638",91.62,4.20,
49,현대글로비스,"170,500","1,000",+0.59%,500,"63,938","37,500",46.24,"71,141",6.18,14.41,
50,CJ제일제당,"420,000","14,500",+3.58%,"5,000","63,228","15,054",24.42,"68,820",10.60,10.76,
51,하이브,"140,000","1,000",-0.71%,500,"57,895","41,353",15.41,"218,839",24.67,6.83,
52,F&F,"146,000","1,000",+0.69%,100,"55,928","38,307",12.38,"94,088",15.27,N/A,
53,한국조선해양,"78,800","1,000",-1.25%,"5,000","55,769","70,773",20.28,"257,508",-8.04,-8.95,
54,롯데케미칼,"159,000","1,500",-0.93%,"5,000","54,498","34,275",23.42,"77,959",10.61,9.87,
55,강원랜드,"25,300",650,+2.64%,500,"54,127","213,940",22.34,"543,856",131.77,-0.33,
56,SK스퀘어,"36,150",850,-2.30%,100,"51,141","141,468",41.23,"542,300",2.24,N/A,
57,한온시스템,"9,580",190,-1.94%,100,"51,138","533,800",16.75,"872,663",27.37,13.83,
58,삼성중공업,"5,610",0,0.00%,"1,000","49,368","880,000",15.79,"4,205,707",-7.41,-36.89,
59,KODEX 200,"29,105",55,+0.19%,0,"48,882","167,950",2.46,"6,652,022",N/A,N/A,
60,LG유플러스,"11,150",0,0.00%,"5,000","48,682","436,611",37.56,"665,737",7.61,9.47,
61,맥쿼리인프라,"11,650",150,-1.27%,0,"47,164","404,846",13.71,"1,270,248",N/A,N/A,
62,넷마블,"54,600",100,+0.18%,100,"46,931","85,954",23.24,"181,600",-201.48,4.29,
63,한국항공우주,"46,850","1,450",-3.00%,"5,000","45,667","97,475",22.40,"1,920,216",53.85,5.19,
64,SK바이오팜,"58,200",500,-0.85%,500,"45,578","78,313",5.75,"109,088",-58.61,15.75,
65,한국타이어앤테크놀로지,"35,800",250,-0.69%,500,"44,347","123,875",36.09,"202,434",6.50,7.69,
66,HD현대,"55,900",200,-0.36%,"1,000","44,157","78,993",17.06,"164,598",4.97,-1.99,
67,삼성엔지니어링,"22,500",700,+3.21%,"5,000","44,100","196,000",40.06,"1,251,828",10.35,20.67,
68,현대건설,"39,600",550,+1.41%,"5,000","44,097","111,356",23.17,"574,705",7.81,5.89,
69,LG디스플레이,"12,300",50,-0.40%,"5,000","44,011","357,816",18.22,"1,844,501",20.92,9.68,
70,오리온,"109,000","6,500",+6.34%,500,"43,094","39,536",35.61,"261,820",14.75,12.75,
71,현대미포조선,"107,000","3,000",+2.88%,"5,000","42,738","39,942",20.12,"415,791",-101.42,-7.11,
72,SK아이이테크놀로지,"59,900",800,-1.32%,"1,000","42,707","71,298",9.79,"687,049",330.94,5.57,
73,롯데지주,"40,000",550,+1.39%,200,"41,964","104,909",9.50,"238,135",12.58,4.61,
74,DB손해보험,"57,500","2,200",-3.69%,500,"40,710","70,800",42.66,"133,113",4.24,13.38,
75,현대제철,"30,000",250,+0.84%,"5,000","40,034","133,446",20.80,"505,543",2.06,8.54,
76,코웨이,"53,900",500,+0.94%,500,"39,778","73,800",61.58,"128,087",8.09,27.41,
77,GS,"42,600",700,+1.67%,"5,000","39,582","92,915",24.38,"173,592",1.82,15.55,
78,유한양행,"53,800",500,+0.94%,"1,000","39,399","73,231",19.16,"105,970",40.91,5.45,
79,미래에셋증권,"6,080",10,-0.16%,"5,000","37,411","615,316",12.68,"974,612",4.93,11.66,
80,삼성카드,"31,000",0,0.00%,"5,000","35,916","115,859",6.69,"74,199",6.14,7.53,
81,메리츠화재,"31,250",700,-2.19%,500,"35,557","113,783",11.47,"136,714",4.65,26.12,
82,SKC,"92,800",800,-0.85%,"5,000","35,142","37,868",17.20,"233,632",11.97,11.60,
83,금호석유,"115,000","1,500",-1.29%,"5,000","34,840","30,296",20.58,"90,343",2.45,47.76,
84,TIGER 차이나전기차SOLACTIVE,"14,225",105,-0.73%,0,"34,094","239,680",0.75,"2,160,003",N/A,N/A,
85,한화에어로스페이스,"65,000","1,100",-1.66%,"5,000","32,910","50,630",22.33,"2,652,953",21.30,9.21,
86,쌍용C&E,"6,440",20,-0.31%,100,"32,449","503,860",2.62,"719,658",27.40,11.12,
87,한국가스공사,"34,250",200,+0.59%,"5,000","31,617","92,313",11.27,"261,892",2.30,11.63,
88,현대차2우B,"86,400",300,+0.35%,"5,000","31,523","36,485",59.91,"71,042",3.83,N/A,
89,NH투자증권,"9,150",70,-0.76%,"5,000","30,347","331,666",13.19,"573,517",4.71,14.77,
90,두산밥캣,"29,450",450,+1.55%,500,"29,523","100,249",25.92,"258,058",7.05,9.19,
91,KODEX KOFR금리액티브(합성),"100,855",5,0.00%,0,"29,222","28,974",0.00,"512,208",N/A,N/A,
92,현대로템,"26,700",250,-0.93%,"5,000","29,141","109,142",5.65,"3,302,257",34.86,5.01,
93,현대오토에버,"105,500","1,500",+1.44%,500,"28,932","27,424",1.95,"38,932",37.36,7.26,
94,호텔신라,"73,400","1,100",+1.52%,"5,000","28,808","39,248",16.30,"225,343",88.01,4.51,
95,한미약품,"232,000","6,000",+2.65%,"2,500","28,578","12,318",14.37,"52,295",36.26,8.75,
96,BGF리테일,"163,500","3,500",+2.19%,"1,000","28,259","17,284",31.48,"37,112",16.78,19.61,
97,삼성증권,"31,600",250,+0.80%,"5,000","28,219","89,300",26.90,"240,437",4.03,16.94,
98,에스디바이오센서,"27,100",400,+1.50%,500,"27,987","103,271",14.10,"302,825",2.40,72.47,
99,한국금융지주,"49,850",350,-0.70%,"5,000","27,779","55,726",33.41,"332,567",2.09,27.12,
100,메리츠금융지주,"21,700",450,-2.03%,500,"27,683","127,572",6.20,"251,537",2.92,22.33,
101,GS리테일,"26,350",700,+2.73%,"1,000","27,593","104,718",7.13,"177,218",3.41,25.58,
102,한진칼,"41,050","1,850",+4.72%,"2,500","27,406","66,762",16.02,"209,976",3.45,1.11,
103,포스코인터내셔널,"22,100",200,-0.90%,"5,000","27,266","123,375",9.55,"781,115",5.12,10.86,
